timestamp,message
1721310925114,"START RequestId: 86bb1d4c-7dae-529d-aa5f-425f5d550658 Version: $LATEST
"
1721310925114,EVENT TYPE: class com.amazonaws.services.lambda.runtime.events.SQSEvent
1721310930118,DB server process ID is: 6351
1721310930119,"END RequestId: 86bb1d4c-7dae-529d-aa5f-425f5d550658
"
1721310930119,"REPORT RequestId: 86bb1d4c-7dae-529d-aa5f-425f5d550658	Duration: 5005.22 ms	Billed Duration: 5006 ms	Memory Size: 512 MB	Max Memory Used: 123 MB	
"
1721310974052,"START RequestId: 242e8dec-5c2d-5edc-8acd-d2ff7d1bde51 Version: $LATEST
"
1721310974053,EVENT TYPE: class com.amazonaws.services.lambda.runtime.events.SQSEvent
1721310979056,DB server process ID is: 6351
1721310979056,"END RequestId: 242e8dec-5c2d-5edc-8acd-d2ff7d1bde51
"
1721310979056,"REPORT RequestId: 242e8dec-5c2d-5edc-8acd-d2ff7d1bde51	Duration: 5004.03 ms	Billed Duration: 5005 ms	Memory Size: 512 MB	Max Memory Used: 123 MB	
"
1721311036862,"START RequestId: f4ac8a69-2928-58e3-ae9d-d57a08534860 Version: $LATEST
"
1721311036862,EVENT TYPE: class com.amazonaws.services.lambda.runtime.events.SQSEvent
1721311041865,DB server process ID is: 6351
1721311041866,"END RequestId: f4ac8a69-2928-58e3-ae9d-d57a08534860
"
1721311041866,"REPORT RequestId: f4ac8a69-2928-58e3-ae9d-d57a08534860	Duration: 5003.91 ms	Billed Duration: 5004 ms	Memory Size: 512 MB	Max Memory Used: 123 MB	
"
1721311049536,"START RequestId: b8c1b37e-d841-5ead-83a2-ec6df9c7bf92 Version: $LATEST
"
1721311049537,EVENT TYPE: class com.amazonaws.services.lambda.runtime.events.SQSEvent
1721311054539,DB server process ID is: 6351
1721311054540,"END RequestId: b8c1b37e-d841-5ead-83a2-ec6df9c7bf92
"
1721311054540,"REPORT RequestId: b8c1b37e-d841-5ead-83a2-ec6df9c7bf92	Duration: 5004.11 ms	Billed Duration: 5005 ms	Memory Size: 512 MB	Max Memory Used: 123 MB	
"